#:t M1mx M1my M1mz
24.35 0.238113 -0.738782 0.630479
24.4 0.238582 -0.741837 0.626702
24.45 0.239051 -0.744873 0.622911
24.5 0.23952 -0.74789 0.619105
24.55 0.239988 -0.750887 0.615284
24.6 0.240456 -0.753864 0.611448
24.65 0.240925 -0.756822 0.607598
24.7 0.241393 -0.75976 0.603734
24.75 0.241861 -0.762678 0.599855
24.8 0.242328 -0.765576 0.595962
24.85 0.242796 -0.768454 0.592055
24.9 0.243264 -0.771311 0.588134
24.95 0.243731 -0.774149 0.584199
25.0 0.244199 -0.776966 0.58025
25.05 0.244666 -0.779764 0.576287
25.1 0.245133 -0.78254 0.572311
25.15 0.2456 -0.785297 0.568322
25.2 0.246067 -0.788032 0.564319
25.25 0.246534 -0.790748 0.560303
25.3 0.247001 -0.793442 0.556273
25.35 0.247467 -0.796116 0.552231
25.4 0.247934 -0.798769 0.548175
25.45 0.2484 -0.801402 0.544107
25.5 0.248866 -0.804013 0.540026
25.55 0.249332 -0.806604 0.535932
25.6 0.249798 -0.809173 0.531826
25.65 0.250264 -0.811722 0.527708
25.7 0.25073 -0.814249 0.523577
25.75 0.251195 -0.816755 0.519434
25.8 0.251661 -0.81924 0.515279
25.85 0.252126 -0.821704 0.511112
25.9 0.252591 -0.824146 0.506933
25.95 0.253057 -0.826567 0.502742
26.0 0.253522 -0.828966 0.49854
26.05 0.253986 -0.831344 0.494326
26.1 0.254451 -0.8337 0.490101
26.15 0.254916 -0.836035 0.485864
26.2 0.25538 -0.838348 0.481616
26.25 0.255845 -0.840639 0.477357
26.3 0.256309 -0.842908 0.473088
26.35 0.256773 -0.845155 0.468807
26.4 0.257237 -0.847381 0.464515
26.45 0.257701 -0.849585 0.460213
26.5 0.258165 -0.851766 0.455901
26.55 0.258628 -0.853926 0.451578
26.6 0.259092 -0.856063 0.447244
26.65 0.259555 -0.858178 0.442901
26.7 0.260018 -0.860271 0.438547
26.75 0.260482 -0.862342 0.434184
26.8 0.260945 -0.86439 0.429811
26.85 0.261407 -0.866416 0.425428
26.9 0.26187 -0.86842 0.421035
26.95 0.262333 -0.870401 0.416633
27.0 0.262795 -0.87236 0.412221
27.05 0.263258 -0.874296 0.407801
27.1 0.26372 -0.87621 0.403371
27.15 0.264182 -0.878101 0.398932
27.2 0.264644 -0.879969 0.394484
27.25 0.265106 -0.881815 0.390027
27.3 0.265568 -0.883638 0.385562
27.35 0.266029 -0.885438 0.381088
27.4 0.266491 -0.887215 0.376606
27.45 0.266952 -0.88897 0.372115
27.5 0.267413 -0.890701 0.367616
27.55 0.267874 -0.89241 0.363109
27.6 0.268335 -0.894095 0.358595
27.65 0.268796 -0.895758 0.354072
27.7 0.269257 -0.897397 0.349541
27.75 0.269718 -0.899013 0.345003
27.8 0.270178 -0.900607 0.340458
27.85 0.270638 -0.902177 0.335905
27.9 0.271099 -0.903724 0.331345
27.95 0.271559 -0.905247 0.326777
28.0 0.272019 -0.906748 0.322203
28.05 0.272478 -0.908225 0.317622
28.1 0.272938 -0.909678 0.313033
28.15 0.273398 -0.911109 0.308439
28.2 0.273857 -0.912516 0.303838
28.25 0.274316 -0.913899 0.29923
28.3 0.274776 -0.915259 0.294616
28.35 0.275235 -0.916596 0.289996
28.4 0.275694 -0.917909 0.285369
28.45 0.276152 -0.919199 0.280737
28.5 0.276611 -0.920465 0.276099
28.55 0.277069 -0.921707 0.271456
28.6 0.277528 -0.922926 0.266806
28.65 0.277986 -0.924121 0.262152
28.7 0.278444 -0.925293 0.257492
28.75 0.278902 -0.926441 0.252826
28.8 0.27936 -0.927565 0.248156
28.85 0.279818 -0.928665 0.243481
28.9 0.280275 -0.929742 0.238801
28.95 0.280733 -0.930795 0.234116
29.0 0.28119 -0.931824 0.229426
29.05 0.281647 -0.932829 0.224732
29.1 0.282104 -0.933811 0.220034
29.15 0.282561 -0.934768 0.215331
29.2 0.283018 -0.935702 0.210625
29.25 0.283475 -0.936612 0.205914
29.3 0.283931 -0.937498 0.201199
29.35 0.284388 -0.93836 0.196481
29.4 0.284844 -0.939198 0.191759
29.45 0.2853 -0.940012 0.187033
29.5 0.285756 -0.940802 0.182305
29.55 0.286212 -0.941568 0.177573
29.6 0.286668 -0.94231 0.172837
29.65 0.287123 -0.943029 0.168099
29.7 0.287579 -0.943723 0.163358
29.75 0.288034 -0.944393 0.158614
29.8 0.288489 -0.945039 0.153867
29.85 0.288944 -0.945661 0.149118
29.9 0.289399 -0.946259 0.144367
29.95 0.289854 -0.946833 0.139613
30.0 0.290308 -0.947383 0.134857
30.05 0.290763 -0.947909 0.130099
30.1 0.291217 -0.948411 0.125339
30.15 0.291672 -0.948888 0.120577
30.2 0.292126 -0.949342 0.115814
30.25 0.29258 -0.949771 0.111049
30.3 0.293033 -0.950177 0.106283
30.35 0.293487 -0.950558 0.101515
30.4 0.293941 -0.950915 0.0967463
30.45 0.294394 -0.951248 0.0919764
30.5 0.294847 -0.951557 0.0872056
30.55 0.2953 -0.951842 0.082434
30.6 0.295753 -0.952102 0.0776618
30.65 0.296206 -0.952339 0.0728889
30.7 0.296659 -0.952551 0.0681156
30.75 0.297112 -0.952739 0.0633421
30.8 0.297564 -0.952904 0.0585683
30.85 0.298016 -0.953044 0.0537944
30.9 0.298468 -0.95316 0.0490206
30.95 0.29892 -0.953252 0.044247
31.0 0.299372 -0.953319 0.0394737
31.05 0.299824 -0.953363 0.0347008
31.1 0.300276 -0.953383 0.0299284
31.15 0.300727 -0.953378 0.0251567
31.2 0.301179 -0.95335 0.0203858
31.25 0.30163 -0.953297 0.0156158
31.3 0.302081 -0.953221 0.0108468
31.35 0.302532 -0.95312 0.00607903
31.4 0.302982 -0.952995 0.0013125
31.45 0.303433 -0.952847 -0.00345264
31.5 0.303884 -0.952674 -0.00821625
31.55 0.304334 -0.952477 -0.0129782
31.6 0.304784 -0.952256 -0.0177384
31.65 0.305234 -0.952012 -0.0224968
31.7 0.305684 -0.951743 -0.0272531
31.75 0.306134 -0.95145 -0.0320072
31.8 0.306583 -0.951134 -0.0367592
31.85 0.307033 -0.950793 -0.0415087
31.9 0.307482 -0.950429 -0.0462558
31.95 0.307931 -0.950041 -0.0510003
32.0 0.308381 -0.949628 -0.055742
32.05 0.308829 -0.949193 -0.0604808
32.1 0.309278 -0.948733 -0.0652167
32.15 0.309727 -0.948249 -0.0699495
32.2 0.310175 -0.947742 -0.074679
32.25 0.310624 -0.94721 -0.0794053
32.3 0.311072 -0.946656 -0.084128
32.35 0.31152 -0.946077 -0.0888472
32.4 0.311968 -0.945475 -0.0935627
32.45 0.312416 -0.944848 -0.0982743
32.5 0.312863 -0.944199 -0.102982
32.55 0.313311 -0.943525 -0.107686
32.6 0.313758 -0.942828 -0.112385
32.65 0.314205 -0.942108 -0.11708
32.7 0.314652 -0.941364 -0.121771
32.75 0.315099 -0.940596 -0.126457
32.8 0.315546 -0.939805 -0.131139
32.85 0.315993 -0.93899 -0.135816
32.9 0.316439 -0.938152 -0.140488
32.95 0.316886 -0.937291 -0.145154
33.0 0.317332 -0.936406 -0.149816
33.05 0.317778 -0.935497 -0.154473
33.1 0.318224 -0.934566 -0.159124
33.15 0.318669 -0.933611 -0.16377
33.2 0.319115 -0.932633 -0.16841
33.25 0.31956 -0.931631 -0.173044
33.3 0.320006 -0.930607 -0.177672
33.35 0.320451 -0.929559 -0.182295
33.4 0.320896 -0.928488 -0.186911
33.45 0.321341 -0.927394 -0.191522
33.5 0.321786 -0.926277 -0.196126
33.55 0.32223 -0.925137 -0.200723
33.6 0.322675 -0.923974 -0.205314
33.65 0.323119 -0.922787 -0.209899
33.7 0.323563 -0.921578 -0.214476
33.75 0.324007 -0.920347 -0.219047
33.8 0.324451 -0.919092 -0.223611
33.85 0.324895 -0.917814 -0.228167
33.9 0.325338 -0.916514 -0.232717
33.95 0.325781 -0.915191 -0.237259
34.0 0.326225 -0.913845 -0.241793
34.05 0.326668 -0.912477 -0.24632
34.1 0.327111 -0.911086 -0.25084
34.15 0.327554 -0.909673 -0.255351
34.2 0.327996 -0.908237 -0.259855
34.25 0.328439 -0.906778 -0.26435
34.3 0.328881 -0.905297 -0.268838
34.35 0.329323 -0.903794 -0.273317
34.4 0.329765 -0.902269 -0.277788
34.45 0.330207 -0.900721 -0.28225
34.5 0.330649 -0.899151 -0.286704
34.55 0.331091 -0.897558 -0.291149
34.6 0.331532 -0.895944 -0.295585
34.65 0.331973 -0.894308 -0.300013
34.7 0.332415 -0.892649 -0.304431
