#:t mx my mz
21.500000 -0.484375 0.787389 0.291954
21.550000 -0.487993 0.784616 0.292884
21.600000 -0.491592 0.781827 0.293815
21.650000 -0.495172 0.779021 0.294748
21.700000 -0.498733 0.776199 0.295683
21.750000 -0.502274 0.773362 0.296618
21.800000 -0.505797 0.770509 0.297555
21.850000 -0.509299 0.767641 0.298492
21.900000 -0.512783 0.764758 0.299430
21.950000 -0.516246 0.761860 0.300369
22.000000 -0.519690 0.758949 0.301308
22.050000 -0.523114 0.756022 0.302247
22.100000 -0.526519 0.753083 0.303186
22.150000 -0.529903 0.750129 0.304125
22.200000 -0.533268 0.747162 0.305064
22.250000 -0.536613 0.744182 0.306001
22.300000 -0.539939 0.741189 0.306938
22.350000 -0.543244 0.738184 0.307874
22.400000 -0.546530 0.735166 0.308809
22.450000 -0.549796 0.732136 0.309742
22.500000 -0.553043 0.729093 0.310674
22.550000 -0.556270 0.726040 0.311604
22.600000 -0.559477 0.722974 0.312532
22.650000 -0.562665 0.719897 0.313458
22.700000 -0.565834 0.716809 0.314381
22.750000 -0.568984 0.713709 0.315302
22.800000 -0.572114 0.710599 0.316220
22.850000 -0.575226 0.707478 0.317135
22.900000 -0.578318 0.704347 0.318047
22.950000 -0.581392 0.701204 0.318955
23.000000 -0.584447 0.698052 0.319861
23.050000 -0.587484 0.694889 0.320762
23.100000 -0.590503 0.691716 0.321661
23.150000 -0.593503 0.688533 0.322555
23.200000 -0.596485 0.685340 0.323445
23.250000 -0.599450 0.682137 0.324331
23.300000 -0.602397 0.678924 0.325213
23.350000 -0.605326 0.675701 0.326090
23.400000 -0.608238 0.672468 0.326963
23.450000 -0.611133 0.669225 0.327831
23.500000 -0.614012 0.665973 0.328695
23.550000 -0.616873 0.662711 0.329554
23.600000 -0.619718 0.659438 0.330408
23.650000 -0.622546 0.656156 0.331257
23.700000 -0.625358 0.652864 0.332102
23.750000 -0.628154 0.649562 0.332941
23.800000 -0.630934 0.646250 0.333775
23.850000 -0.633698 0.642927 0.334605
23.900000 -0.636446 0.639595 0.335429
23.950000 -0.639180 0.636252 0.336248
24.000000 -0.641897 0.632898 0.337062
24.050000 -0.644600 0.629534 0.337871
24.100000 -0.647288 0.626160 0.338675
24.150000 -0.649961 0.622775 0.339475
24.200000 -0.652619 0.619379 0.340269
24.250000 -0.655262 0.615972 0.341058
24.300000 -0.657891 0.612553 0.341843
24.350000 -0.660505 0.609124 0.342622
24.400000 -0.663105 0.605683 0.343398
24.450000 -0.665691 0.602230 0.344168
24.500000 -0.668262 0.598766 0.344934
24.550000 -0.670820 0.595290 0.345696
24.600000 -0.673363 0.591802 0.346454
24.650000 -0.675892 0.588302 0.347207
24.700000 -0.678407 0.584789 0.347957
24.750000 -0.680908 0.581264 0.348703
24.800000 -0.683395 0.577727 0.349445
24.850000 -0.685868 0.574176 0.350184
24.900000 -0.688327 0.570613 0.350919
24.950000 -0.690771 0.567037 0.351651
25.000000 -0.693202 0.563448 0.352381
25.050000 -0.695618 0.559845 0.353107
25.100000 -0.698020 0.556229 0.353831
25.150000 -0.700407 0.552600 0.354553
25.200000 -0.702780 0.548956 0.355272
25.250000 -0.705139 0.545300 0.355989
25.300000 -0.707482 0.541629 0.356705
25.350000 -0.709811 0.537945 0.357419
25.400000 -0.712125 0.534246 0.358132
25.450000 -0.714424 0.530534 0.358843
25.500000 -0.716707 0.526808 0.359554
25.550000 -0.718975 0.523068 0.360264
25.600000 -0.721227 0.519314 0.360973
25.650000 -0.723464 0.515545 0.361683
25.700000 -0.725684 0.511763 0.362392
25.750000 -0.727888 0.507967 0.363101
25.800000 -0.730075 0.504157 0.363811
25.850000 -0.732246 0.500332 0.364521
25.900000 -0.734400 0.496494 0.365232
25.950000 -0.736536 0.492643 0.365944
26.000000 -0.738655 0.488777 0.366657
26.050000 -0.740757 0.484898 0.367371
26.100000 -0.742840 0.481006 0.368087
26.150000 -0.744905 0.477101 0.368805
26.200000 -0.746952 0.473182 0.369524
26.250000 -0.748980 0.469250 0.370246
26.300000 -0.750989 0.465306 0.370970
26.350000 -0.752979 0.461349 0.371696
26.400000 -0.754949 0.457380 0.372425
26.450000 -0.756899 0.453399 0.373156
26.500000 -0.758829 0.449406 0.373890
26.550000 -0.760739 0.445401 0.374626
26.600000 -0.762629 0.441385 0.375366
26.650000 -0.764497 0.437358 0.376109
26.700000 -0.766345 0.433320 0.376855
26.750000 -0.768171 0.429272 0.377604
26.800000 -0.769975 0.425214 0.378356
26.850000 -0.771758 0.421146 0.379112
26.900000 -0.773518 0.417069 0.379870
26.950000 -0.775257 0.412983 0.380632
27.000000 -0.776972 0.408888 0.381398
27.050000 -0.778666 0.404785 0.382166
27.100000 -0.780336 0.400673 0.382938
27.150000 -0.781983 0.396555 0.383714
27.200000 -0.783607 0.392429 0.384492
27.250000 -0.785208 0.388296 0.385274
27.300000 -0.786785 0.384157 0.386058
27.350000 -0.788338 0.380012 0.386846
27.400000 -0.789867 0.375861 0.387636
27.450000 -0.791373 0.371706 0.388429
27.500000 -0.792854 0.367545 0.389225
27.550000 -0.794312 0.363380 0.390024
27.600000 -0.795745 0.359212 0.390824
27.650000 -0.797154 0.355039 0.391627
27.700000 -0.798538 0.350864 0.392432
27.750000 -0.799898 0.346686 0.393239
27.800000 -0.801234 0.342505 0.394048
27.850000 -0.802546 0.338323 0.394858
27.900000 -0.803833 0.334139 0.395669
27.950000 -0.805095 0.329954 0.396481
28.000000 -0.806333 0.325767 0.397294
28.050000 -0.807547 0.321581 0.398108
28.100000 -0.808737 0.317394 0.398922
28.150000 -0.809903 0.313207 0.399735
28.200000 -0.811044 0.309021 0.400549
28.250000 -0.812162 0.304835 0.401363
28.300000 -0.813255 0.300651 0.402175
28.350000 -0.814325 0.296468 0.402987
28.400000 -0.815371 0.292286 0.403797
28.450000 -0.816394 0.288106 0.404605
28.500000 -0.817393 0.283929 0.405412
28.550000 -0.818369 0.279753 0.406217
28.600000 -0.819322 0.275580 0.407019
28.650000 -0.820253 0.271410 0.407818
28.700000 -0.821160 0.267242 0.408615
28.750000 -0.822045 0.263077 0.409408
28.800000 -0.822908 0.258916 0.410197
28.850000 -0.823749 0.254757 0.410983
28.900000 -0.824567 0.250602 0.411764
28.950000 -0.825365 0.246450 0.412541
29.000000 -0.826140 0.242301 0.413313
29.050000 -0.826895 0.238156 0.414080
29.100000 -0.827628 0.234013 0.414842
29.150000 -0.828341 0.229875 0.415599
29.200000 -0.829033 0.225739 0.416350
29.250000 -0.829704 0.221607 0.417094
29.300000 -0.830356 0.217478 0.417833
29.350000 -0.830987 0.213352 0.418565
29.400000 -0.831599 0.209229 0.419290
29.450000 -0.832191 0.205109 0.420009
29.500000 -0.832764 0.200992 0.420720
29.550000 -0.833317 0.196877 0.421424
29.600000 -0.833852 0.192765 0.422121
29.650000 -0.834368 0.188655 0.422811
29.700000 -0.834865 0.184547 0.423492
29.750000 -0.835343 0.180440 0.424166
29.800000 -0.835804 0.176336 0.424832
29.850000 -0.836246 0.172232 0.425490
29.900000 -0.836670 0.168130 0.426140
29.950000 -0.837076 0.164029 0.426782
30.000000 -0.837464 0.159928 0.427416
30.050000 -0.837835 0.155827 0.428041
30.100000 -0.838187 0.151727 0.428659
30.150000 -0.838522 0.147626 0.429268
30.200000 -0.838840 0.143524 0.429869
30.250000 -0.839140 0.139422 0.430462
30.300000 -0.839422 0.135319 0.431046
30.350000 -0.839687 0.131214 0.431623
30.400000 -0.839935 0.127107 0.432192
30.450000 -0.840165 0.122999 0.432753
30.500000 -0.840377 0.118888 0.433306
30.550000 -0.840571 0.114774 0.433851
30.600000 -0.840748 0.110658 0.434390
30.650000 -0.840907 0.106538 0.434921
30.700000 -0.841048 0.102415 0.435445
30.750000 -0.841171 0.098288 0.435962
30.800000 -0.841276 0.094158 0.436472
30.850000 -0.841363 0.090023 0.436976
30.900000 -0.841431 0.085883 0.437474
30.950000 -0.841480 0.081739 0.437966
31.000000 -0.841511 0.077590 0.438452
31.050000 -0.841522 0.073436 0.438933
31.100000 -0.841514 0.069277 0.439409
31.150000 -0.841487 0.065112 0.439881
31.200000 -0.841439 0.060942 0.440347
31.250000 -0.841372 0.056766 0.440810
31.300000 -0.841284 0.052585 0.441269
31.350000 -0.841176 0.048398 0.441725
31.400000 -0.841047 0.044205 0.442177
31.450000 -0.840897 0.040005 0.442627
31.500000 -0.840725 0.035801 0.443074
31.550000 -0.840531 0.031590 0.443520
31.600000 -0.840316 0.027373 0.443964
31.650000 -0.840077 0.023150 0.444406
31.700000 -0.839816 0.018922 0.444848
31.750000 -0.839532 0.014688 0.445290
31.800000 -0.839225 0.010449 0.445731
31.850000 -0.838893 0.006204 0.446173
31.900000 -0.838538 0.001954 0.446615
31.950000 -0.838158 -0.002300 0.447059
32.000000 -0.837753 -0.006560 0.447504
32.050000 -0.837323 -0.010824 0.447951
32.100000 -0.836868 -0.015092 0.448400
32.150000 -0.836386 -0.019363 0.448851
32.200000 -0.835879 -0.023639 0.449306
32.250000 -0.835345 -0.027917 0.449764
32.300000 -0.834785 -0.032198 0.450225
32.350000 -0.834197 -0.036482 0.450691
32.400000 -0.833582 -0.040767 0.451161
32.450000 -0.832939 -0.045054 0.451635
32.500000 -0.832268 -0.049342 0.452114
32.550000 -0.831569 -0.053630 0.452599
32.600000 -0.830842 -0.057918 0.453089
32.650000 -0.830086 -0.062206 0.453584
32.700000 -0.829301 -0.066493 0.454086
32.750000 -0.828487 -0.070778 0.454593
32.800000 -0.827643 -0.075060 0.455107
32.850000 -0.826770 -0.079340 0.455628
32.900000 -0.825868 -0.083616 0.456155
32.950000 -0.824935 -0.087888 0.456690
33.000000 -0.823973 -0.092155 0.457231
33.050000 -0.822981 -0.096417 0.457779
33.100000 -0.821958 -0.100673 0.458335
33.150000 -0.820906 -0.104922 0.458898
33.200000 -0.819823 -0.109164 0.459468
33.250000 -0.818710 -0.113397 0.460046
33.300000 -0.817566 -0.117622 0.460631
33.350000 -0.816393 -0.121838 0.461224
33.400000 -0.815189 -0.126043 0.461824
33.450000 -0.813954 -0.130237 0.462431
33.500000 -0.812690 -0.134420 0.463045
33.550000 -0.811396 -0.138591 0.463667
33.600000 -0.810072 -0.142749 0.464296
33.650000 -0.808718 -0.146893 0.464932
33.700000 -0.807334 -0.151023 0.465574
33.750000 -0.805921 -0.155139 0.466223
33.800000 -0.804479 -0.159239 0.466878
