#:T Omega Ix Iy t1 t2 calc_time t_count
0.6 0.7 -436.461486972 -485.395613468 80.0 448.571428571 14.4351949692 8972.0
0.6 0.8 -408.626757908 -302.795700004 80.0 392.5 12.4867699146 7850.0
0.6 0.9 -447.303543228 -163.511131984 80.0 348.888888889 11.2369480133 6978.0
0.6 1.0 -360.455130049 -116.982019626 80.0 314.0 10.0852189064 6280.0
0.6 1.1 -253.624368238 -60.8045049763 80.0 285.454545455 9.20138692856 5710.0
0.6 1.2 -169.292425842 -22.818615098 80.0 261.666666667 8.43737602234 5234.0
0.6 1.3 -148.903592435 -18.1360773607 80.0 241.538461538 7.69004201889 4831.0
0.6 1.4 -100.36358346 -4.72547466941 80.0 224.285714286 7.2366168499 4486.0
0.6 1.5 -74.0057968273 -13.5450153485 80.0 209.333333333 6.7192928791 4187.0
0.6 1.6 -67.1130748214 -10.8132181045 80.0 196.25 6.28522205353 3925.0
0.6 1.7 -53.5545475835 1.64016896519 80.0 184.705882353 5.93510103226 3695.0
0.6 1.8 -35.0450767262 0.022189941887 80.0 174.444444444 5.53828001022 3489.0
0.6 1.9 -30.8532267665 -7.83267038281 80.0 165.263157895 5.31230092049 3306.0
0.6 2.0 -33.4642816408 -2.83850597891 80.0 157.0 5.06509590149 3140.0

0.7 0.1 16374.3372234 -14262.5699453 80.0 3140.0 99.547896862 62800.0000001
0.7 0.2 4871.0075899 -6932.58367121 80.0 1570.0 50.1002042294 31401.0
0.7 0.3 4547.77217313 -4286.7233499 80.0 1046.66666667 33.3262021542 20934.0
0.7 0.4 3873.91172543 -3825.39142393 80.0 785.0 25.0923051834 15701.0
0.7 0.5 1833.50048132 -4216.0041515 80.0 628.0 20.2348651886 12561.0
0.7 0.6 -1290.61048746 -733.673231871 80.0 523.333333333 16.8880491257 10467.0
0.7 0.7 -807.444128276 -459.442767171 80.0 448.571428571 14.4541790485 8972.0
0.7 0.8 -510.383479002 -168.776003577 80.0 392.5 12.518805027 7850.0
0.7 0.9 -383.748051693 -97.2296568394 80.0 348.888888889 11.2479782104 6978.0
0.7 1.0 -286.26768284 -58.2725743841 80.0 314.0 10.1173710823 6280.0
0.7 1.1 -198.363901509 -36.6610718503 80.0 285.454545455 9.19009590149 5710.0
0.7 1.2 -153.566198042 -28.1253991791 80.0 261.666666667 8.39313101768 5234.0
0.7 1.3 -119.247043307 -14.2855839425 80.0 241.538461538 7.79049992561 4831.0
0.7 1.4 -82.4356759621 -7.75001056327 80.0 224.285714286 7.1730120182 4486.0
0.7 1.5 -64.3839947082 -12.3403237353 80.0 209.333333333 6.74240589142 4187.0
0.7 1.6 -58.9375757079 -10.0433182667 80.0 196.25 6.31301403046 3925.0
0.7 1.7 -47.7784832896 -0.418143498287 80.0 184.705882353 5.93442893028 3695.0
0.7 1.8 -31.8073888922 -0.918318853238 80.0 174.444444444 5.61148881912 3489.0
0.7 1.9 -28.6537191111 -6.33926922211 80.0 165.263157895 5.31432890892 3306.0
0.7 2.0 -29.6096932395 -2.51688574796 80.0 157.0 5.00477099419 3140.0

0.8 0.1 17866.3534315 -8542.24536784 80.0 3140.0 99.5790090561 62800.0000001
0.8 0.2 5774.78095185 -5313.12246454 80.0 1570.0 50.30184412 31401.0
0.8 0.3 5097.90898985 -3213.32085864 80.0 1046.66666667 33.6861510277 20934.0
0.8 0.4 3940.85315138 -3188.84999678 80.0 785.0 24.9147260189 15701.0
0.8 0.5 2338.49920415 -3617.54791618 80.0 628.0 20.228192091 12561.0
0.8 0.6 -1163.10000432 -341.219913063 80.0 523.333333333 16.7889859676 10467.0
0.8 0.7 -687.8930865 -167.809348571 80.0 448.571428571 14.4161319733 8972.0
0.8 0.8 -443.865661671 -92.2286479373 80.0 392.5 12.5948991776 7850.0
0.8 0.9 -297.155166672 -54.2531997574 80.0 348.888888889 11.2158679962 6978.0
0.8 1.0 -213.164503128 -42.0913883262 80.0 314.0 10.1230089664 6280.0
0.8 1.1 -150.541518127 -28.064351575 80.0 285.454545455 9.19896793365 5710.0
0.8 1.2 -112.024039628 -23.1300075274 80.0 261.666666667 8.31507110596 5234.0
0.8 1.3 -90.8594438757 -19.6534319066 80.0 241.538461538 7.7735710144 4831.0
0.8 1.4 -66.9036881269 -16.4955758406 80.0 224.285714286 7.21524190903 4486.0
0.8 1.5 -53.9448559342 -14.4063953901 80.0 209.333333333 6.73867416382 4187.0
0.8 1.6 -45.3958410355 -9.52749132243 80.0 196.25 6.31255602837 3925.0
0.8 1.7 -41.6377928264 -5.34600589041 80.0 184.705882353 5.95854687691 3695.0
0.8 1.8 -27.72951097 -2.99962831241 80.0 174.444444444 5.63043403625 3489.0
0.8 1.9 -27.3778752783 -3.52821817395 80.0 165.263157895 5.33469295502 3306.0
0.8 2.0 -23.2970837953 -2.05477109689 80.0 157.0 5.04203510284 3140.0

0.9 0.1 16666.2664964 -4617.40283959 80.0 3140.0 99.8973748684 62800.0000001
0.9 0.2 6317.23538955 -3921.13026577 80.0 1570.0 50.4968180656 31401.0
0.9 0.3 4989.941926 -2428.08939777 80.0 1046.66666667 33.3474388123 20934.0
0.9 0.4 3870.17252876 -2553.54107539 80.0 785.0 25.239882946 15701.0
0.9 0.5 2558.72704246 -3093.38425761 80.0 628.0 19.9284420013 12561.0
0.9 0.6 -1562.43328868 -708.672523787 80.0 523.333333333 16.8460388184 10467.0
0.9 0.7 -787.786479314 -221.541103962 80.0 448.571428571 14.2557170391 8972.0
0.9 0.8 -480.705196801 -108.983706187 80.0 392.5 12.638119936 7850.0
0.9 0.9 -322.04129508 -66.1415504753 80.0 348.888888889 11.178355217 6978.0
0.9 1.0 -219.071076297 -44.5933062947 80.0 314.0 10.0962209702 6280.0
0.9 1.1 -154.308529395 -31.7549305744 80.0 285.454545455 9.17587780952 5710.0
